u	c	t0v15	t1v15	t2v15	t3v15	t4v15	t5v15	t6v15	t7v15	t8v15	t9v15	
20	2	248.946	352.298	302.974	278.806	330.595	407.114	288.549	388.895	286.575	382.809	
20	3	281.775	202.552	145.412	210.610	139.555	180.785	219.152	232.373	448.303	245.543	
20	4	354.300	212.159	237.204	249.079	307.250	209.270	258.314	473.000	381.287	168.671	
20	5	356.499	325.809	301.532	426.526	268.347	340.522	223.479	870.900	425.827	274.076	
20	6	255.769	839.426	287.417	314.515	472.060	587.939	534.980	425.209	243.196	328.343	
20	7	251.209	211.480	236.461	188.580	330.408	167.112	151.717	274.348	180.654	242.555	
20	8	349.803	258.346	218.703	290.518	411.433	270.145	270.458	383.345	298.392	410.549	
21	1	701.411	481.255	492.551	273.957	769.925	826.844	692.414	566.132	642.211	515.672	
21	2	491.223	563.790	423.562	250.345	571.375	483.866	604.950	666.455	516.538	548.127	
21	3	512.220	247.671	231.716	176.353	218.028	207.713	447.456	281.160	224.266	352.465	
21	4	379.368	208.539	285.745	304.614	201.158	149.866	368.361	382.239	240.469	357.185	
21	5	397.315	766.562	884.438	654.874	1094.378	856.833	423.238	697.445	1119.108	522.728	
21	6	505.858	415.215	272.598	590.664	428.903	703.812	809.505	573.932	585.920	471.624	
21	7	537.881	155.005	402.449	229.333	324.404	769.381	485.263	218.457	294.629	718.455	
21	8	249.116	287.903	333.138	277.556	330.334	337.458	811.187	258.951	623.393	137.310	
22	1	1013.001	867.316	340.416	869.076	277.005	769.714	563.272	380.734	360.312	328.027	
22	2	847.842	614.247	396.089	402.815	397.014	403.322	525.812	433.976	447.321	310.072	
22	3	161.851	202.680	372.074	443.388	170.492	432.431	173.199	183.199	246.255	239.967	
22	4	420.486	153.859	600.976	294.295	241.049	195.508	333.792	239.474	348.212	523.114	
22	5	863.339	261.668	391.229	804.950	394.417	513.442	438.208	998.297	676.842	700.125	
22	6	268.058	604.807	309.616	246.298	441.456	346.293	402.766	429.667	392.920	393.329	
22	7	256.442	181.668	368.514	184.127	339.620	294.313	428.975	226.096	193.328	295.539	
22	8	365.144	198.442	184.122	263.963	303.469	353.431	242.893	178.056	393.885	357.661	
23	1	551.729	254.053	261.357	206.962	617.698	463.646	280.263	342.912	312.013	363.074	
23	2	463.753	632.609	226.581	617.053	357.346	329.191	480.886	517.285	337.203	608.241	
23	3	167.564	200.666	177.974	298.639	293.243	226.683	186.579	157.911	256.159	133.458	
23	4	376.716	265.535	331.682	196.903	260.790	184.049	170.515	245.986	224.065	221.628	
23	5	647.041	353.419	361.017	433.402	298.464	416.532	377.781	304.893	557.009	201.839	
23	6	509.758	369.103	672.196	328.059	390.659	301.870	365.380	359.971	466.215	317.902	
23	7	181.264	454.990	92.138	133.274	85.692	244.082	139.894	170.077	456.453	129.236	
23	8	353.465	670.773	161.516	203.733	257.418	184.228	236.906	244.529	202.877	264.150	
24	1	417.015	581.623	395.372	402.697	615.882	595.372	321.193	339.516	482.142	649.360	
24	2	190.348	547.246	474.326	380.059	340.455	362.928	659.319	804.069	355.243	325.052	
24	3	210.045	410.787	433.948	241.504	129.390	127.024	93.779	391.225	340.040	269.226	
24	4	566.195	363.138	525.641	352.459	426.392	466.903	836.669	252.917	571.949	791.561	
24	5	724.048	842.247	243.750	578.173	220.823	467.697	325.195	327.578	851.873	374.095	
24	6	497.282	676.855	416.483	389.788	1472.912	627.497	510.020	453.481	825.403	486.953	
24	7	548.550	248.598	221.861	418.133	183.556	384.097	353.797	177.259	237.615	466.250	
24	8	793.252	561.575	330.636	440.823	242.783	427.570	329.663	299.340	400.365	197.608	
