user	condition	trial	RTech	ViewCtrl	Release	T0	T1	TT	D0	D1	A0	A1	C0	C1	CC	HD0	HD1	HA0	HA1	TE0	TE1	RE0	RE1	NOA	
3	7	1	0	1	1	0	1.067627	28.35547	29.4231	3.031467	0.01371629	29.76535	1.828148	0	2	2	0.4969341	1.229843	71.56376	338.4644	0.9938883	0.7735389	0.8796407	0.1532276	1	
3	7	2	0	1	1	0	1.555664	29.44434	31	0.9883688	0.04471608	175.9439	8.290397	0	4	4	0.6144815	1.395154	124.1486	460.064	0.9758096	0.1652105	0.7480547	0.3424097	1	
3	7	3	0	1	1	0	1.679199	25.12231	26.80151	0.9934784	0.03030055	64.76069	1.536426	0	1	1	0.7073137	0.6343471	146.1695	219.0569	0.9352334	0.3506321	0.717675	0.2791553	1	
3	8	1	0	1	1	1	4.093262	23.69995	27.79321	0.9980258	0.02035904	79.86211	1.724147	1	3	4	1.002254	0.9304348	202.8408	328.7679	0.9245077	0.4928581	0.5539366	0.3030587	1	
3	8	2	0	1	1	1	5.682373	35.85547	41.53784	0.9772552	0.02648479	122.5799	5.12936	1	3	4	1.15394	1.519856	284.6627	462.9773	0.8242963	0.3502622	0.3942861	0.3430803	1	
3	8	3	0	1	1	1	2.005859	17.37769	19.38354	0.9952656	0.03887537	53.34514	1.694844	0	2	2	0.8252058	0.8411558	165.6292	271.4641	0.9182282	0.4175674	0.7822723	0.2095268	1	
4	1	1	0	0	0	0	3.147461	90.2998	93.44727	0.8591307	0.04817877	56.19751	2.859974	1	10	11	0.693205	2.92924	112.4829	980.5941	0.8709221	0.08248121	0.7959386	0.06029011	1	
4	1	2	0	0	0	0	3.984375	168.6333	172.6177	0.9478258	0.02421408	108.5032	3.361256	1	19	20	0.9281649	6.633474	135.8172	1746.611	0.6504806	0.07135583	0.5322787	0.06276053	1	
4	1	3	0	0	0	0	1.567383	28.78906	30.35645	0.9785444	0.02110942	95.32665	5.178579	0	5	5	0.6573838	1.432645	121.9588	545.9341	0.8307375	0.2288755	0.9043792	0.1753644	1	
4	2	1	0	0	0	1	2.206055	25.93311	28.13916	0.9215307	0.04118625	65.27724	2.530026	1	6	7	0.7111932	2.562276	121.1203	758.4285	0.8409262	0.06269974	0.6098178	0.08383065	1	
